codepoint,value,subnormal
0x00,0x0p+0, 
0x01,0x1p-15, 
0x02,0x1p-14, 
0x03,0x1p-13, 
0x04,0x1p-12, 
0x05,0x1p-11, 
0x06,0x1p-10, 
0x07,0x1p-9, 
0x08,0x1p-8, 
0x09,0x1p-7, 
0x0a,0x1p-6, 
0x0b,0x1p-5, 
0x0c,0x1p-4, 
0x0d,0x1p-3, 
0x0e,0x1p-2, 
0x0f,0x1p-1, 
0x10,0x1p+0, 
0x11,0x1p+1, 
0x12,0x1p+2, 
0x13,0x1p+3, 
0x14,0x1p+4, 
0x15,0x1p+5, 
0x16,0x1p+6, 
0x17,0x1p+7, 
0x18,0x1p+8, 
0x19,0x1p+9, 
0x1a,0x1p+10, 
0x1b,0x1p+11, 
0x1c,0x1p+12, 
0x1d,0x1p+13, 
0x1e,0x1p+14, 
0x1f,0x1p+15, 
0x20,NaN, 
0x21,-0x1p-15, 
0x22,-0x1p-14, 
0x23,-0x1p-13, 
0x24,-0x1p-12, 
0x25,-0x1p-11, 
0x26,-0x1p-10, 
0x27,-0x1p-9, 
0x28,-0x1p-8, 
0x29,-0x1p-7, 
0x2a,-0x1p-6, 
0x2b,-0x1p-5, 
0x2c,-0x1p-4, 
0x2d,-0x1p-3, 
0x2e,-0x1p-2, 
0x2f,-0x1p-1, 
0x30,-0x1p+0, 
0x31,-0x1p+1, 
0x32,-0x1p+2, 
0x33,-0x1p+3, 
0x34,-0x1p+4, 
0x35,-0x1p+5, 
0x36,-0x1p+6, 
0x37,-0x1p+7, 
0x38,-0x1p+8, 
0x39,-0x1p+9, 
0x3a,-0x1p+10, 
0x3b,-0x1p+11, 
0x3c,-0x1p+12, 
0x3d,-0x1p+13, 
0x3e,-0x1p+14, 
0x3f,-0x1p+15, 
